name,rate,rating_numerator,dog_stage,comments,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,expanded_urls,text_url,jpg_url,timestamp,rating_denominator,tweet_id
emmy,1.4,14,,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,7181,42876,french bulldog,0.84,True,boston bull,0.08,True,toy terrier,0.02,True,"https://twitter.com/dog_rates/status/878057613040115712/photo/1,https://twitter.com/dog_rates/status/878057613040115712/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,2017-06-23,10,878057613040115712
kuyu,1.4,14,,Meet Kuyu. He was trapped in a well for 10 days. Rescued yesterday using a device designed by a local robotics team. 14/10 for all involved https://t.co/l38R6IZNNg,7458,30380,bloodhound,0.78,True,great dane,0.05,True,leonberg,0.02,True,"https://twitter.com/dog_rates/status/831911600680497154/photo/1,https://twitter.com/dog_rates/status/831911600680497154/photo/1,https://twitter.com/dog_rates/status/831911600680497154/photo/1,https://twitter.com/dog_rates/status/831911600680497154/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C4uLLGuUoAAkIHm.jpg,2017-02-15,10,831911600680497154
ollie,1.4,14,pupper,This is Ollie Vue. He was a 3 legged pupper on a mission to overcome everything. This is very hard to write. 14/10 we will miss you Ollie https://t.co/qTRY2qX9y4,4288,16236,golden retriever,0.87,True,cocker spaniel,0.03,True,chow,0.02,True,"https://twitter.com/dog_rates/status/807621403335917568/photo/1,https://twitter.com/dog_rates/status/807621403335917568/photo/1,https://twitter.com/dog_rates/status/807621403335917568/photo/1,https://twitter.com/dog_rates/status/807621403335917568/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CzU_YVGUUAA3Xsd.jpg,2016-12-10,10,807621403335917568
gbe,1.4,14,pupper,"This is Gabe. He was the unequivocal embodiment of a dream meme, but also one h*ck of a pupper. You will be missed by so many. 14/10 RIP https://t.co/M3hZGadUuO",17209,31800,pomeranian,0.96,True,samoyed,0.02,True,maltese dog,0.01,True,"https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1,https://twitter.com/dog_rates/status/822462944365645825/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2n5rUUXEAIXAtv.jpg,2017-01-20,10,822462944365645825
sundnce,1.4,14,doggo,This is Sundance. He's a doggo drummer. Even sings a bit on the side. 14/10 entertained af (vid by @sweetsundance) https://t.co/Xn5AQtiqzG,5053,13075,irish setter,0.51,True,vizsla,0.17,True,chesapeake bay retriever,0.11,True,https://twitter.com/dog_rates/status/821407182352777218/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/821407155391725568/pu/img/AJC07gFJDDBuwNTD.jpg,2017-01-17,10,821407182352777218
,1.4,14,,"We are proud to support @LoveYourMelon on their mission to put a hat on every kid battling cancer. They are 14/10

https://t.co/XQlmPTLHPl https://t.co/ZNIkkHgtYE",648,3706,gordon setter,0.94,True,black-and-tan coonhound,0.04,True,rottweiler,0.01,True,"https://www.loveyourmelon.com/pages/ourstory,https://twitter.com/dog_rates/status/820314633777061888/photo/1,https://twitter.com/dog_rates/status/820314633777061888/photo/1,https://twitter.com/dog_rates/status/820314633777061888/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2JXyARUAAE4gbL.jpg,2017-01-14,10,820314633777061888
wlter,1.4,14,,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,12518,0,laptop,0.15,False,french bulldog,0.1,True,printer,0.08,False,"https://twitter.com/dog_rates/status/868880397819494401/photo/1,https://twitter.com/dog_rates/status/868880397819494401/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,2017-06-11,10,873697596434513921
bo,1.4,14,doggo,RT @dog_rates: This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,42228,0,standard poodle,0.35,True,toy poodle,0.27,True,tibetan terrier,0.09,True,"https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C12whDoVEAALRxa.jpg,2017-01-11,10,819015337530290176
bo,1.4,14,doggo,This is Bo. He was a very good First Doggo. 14/10 would be an absolute honor to pet https://t.co/AdPKrI8BZ1,42228,95450,standard poodle,0.35,True,toy poodle,0.27,True,tibetan terrier,0.09,True,"https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1,https://twitter.com/dog_rates/status/819004803107983360/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C12whDoVEAALRxa.jpg,2017-01-11,10,819004803107983360
,1.4,14,pupper,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 https://t.co/dJx4Gzc50G,83,0,irish setter,0.36,True,golden retriever,0.2,True,irish terrier,0.11,True,"https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DCszHgmW0AAmIpT.jpg,2017-06-21,10,877611172832227328
cermet,1.4,14,,"This is Cermet, Paesh, and Morple. They are absolute h*ckin superstars. Watered every day so they can grow. 14/10 for all https://t.co/GUefqUmZv8",6841,29086,chihuahua,0.88,True,italian greyhound,0.03,True,cardigan,0.02,True,"https://twitter.com/dog_rates/status/856282028240666624/photo/1,https://twitter.com/dog_rates/status/856282028240666624/photo/1,https://twitter.com/dog_rates/status/856282028240666624/photo/1,https://twitter.com/dog_rates/status/856282028240666624/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C-If9ZwXoAAfDX2.jpg,2017-04-23,10,856282028240666624
,1.4,14,,Here we have some incredible doggos for #K9VeteransDay. All brave as h*ck. Salute your dog in solidarity. 14/10 for all https://t.co/SVNMdFqKDL,4168,13755,military uniform,0.85,False,labrador retriever,0.05,True,groenendael,0.02,True,"https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C61lFFiWoAAJdiL.jpg,2017-03-14,10,841439858740625411
cssie,1.4,14,doggo,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7711,32467,pembroke,0.51,True,cardigan,0.45,True,chihuahua,0.03,True,https://twitter.com/dog_rates/status/890240255349198849/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,2017-07-26,10,890240255349198849
smiley,1.4,14,doggo,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere https://t.co/SHAb1wHjMz,2673,12385,pembroke,0.13,True,ice bear,0.05,False,pug,0.04,True,https://twitter.com/dog_rates/status/832273440279240704/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/832273373149413377/pu/img/qOqxM0b48fEarmq6.jpg,2017-02-16,10,832273440279240704
peches,1.3,13,,RT @dog_rates: This is Peaches. She's the ultimate selfie sidekick. Super sneaky tongue slip appreciated. 13/10 https://t.co/pbKOesr8Tg,2980,0,golden retriever,0.94,True,kuvasz,0.03,True,labrador retriever,0.02,True,"https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1,https://twitter.com/dog_rates/status/800141422401830912/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CxqsX-8XUAAEvjD.jpg,2017-01-15,10,820446719150292993
mx,1.3,13,,This is Max. There's no way in h*ck you're taking his pacifier. Binky promises it's not happening. 13/10 very good stubborn boy https://t.co/9lVAqDEvZ5,5312,17305,afghan hound,0.9,True,saluki,0.04,True,bloodhound,0.03,True,https://twitter.com/dog_rates/status/841314665196081154/video/1,"""http://twitter.com"" ",https://pbs.twimg.com/ext_tw_video_thumb/841311812641533952/pu/img/sBUGt8u76n9azPWI.jpg,2017-03-13,10,841314665196081154
sojourner,1.3,13,,Meet Sojourner. His nose is a Fibonacci Spiral. Legendary af. 13/10 we must protect him at all costs https://t.co/r7W1NbkOtr,2597,14640,staffordshire bullterrier,0.6,True,american staffordshire terrier,0.31,True,boston bull,0.04,True,"https://twitter.com/dog_rates/status/839990271299457024/photo/1,https://twitter.com/dog_rates/status/839990271299457024/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C6g-sX-VsAAHfJ9.jpg,2017-03-10,10,839990271299457024
jzzy,1.3,13,,This is Jazzy. She just found out that sandwich wasn't for her. Shocked and puppalled. 13/10 deep breaths Jazzy https://t.co/52cItP0vIO,2271,10606,cardigan,0.55,True,basenji,0.12,True,shetland sheepdog,0.1,True,https://twitter.com/dog_rates/status/819588359383371776/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C1_DQn3UoAIoJy7.jpg,2017-01-12,10,819588359383371776
oliver,1.3,13,puppo,"This is Oliver. He has dreams of being a service puppo so he can help his owner. 13/10 selfless af

make it happen:
https://t.co/f5WMsx0a9K https://t.co/6lJz0DKZIb",1369,5927,american staffordshire terrier,0.93,True,staffordshire bullterrier,0.04,True,italian greyhound,0.02,True,"https://www.gofundme.com/servicedogoliver,https://twitter.com/dog_rates/status/819952236453363712/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2EONHNWQAUWxkP.jpg,2017-01-13,10,819952236453363712
odie,1.3,13,,This is Odie. He's big. 13/10 would attempt to ride https://t.co/JEXB9RwBmm,7422,29684,leonberg,0.93,True,newfoundland,0.05,True,saint bernard,0.01,True,"https://twitter.com/dog_rates/status/839239871831150596/photo/1,https://twitter.com/dog_rates/status/839239871831150596/photo/1,https://twitter.com/dog_rates/status/839239871831150596/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C6WUNadWYAAPxHv.jpg,2017-03-07,10,839239871831150596
moreton,1.3,13,,RT @dog_rates: This is Moreton. He's the Good Boy Who Lived. 13/10 magical as h*ck https://t.co/rLHGx3VAF3,10723,0,afghan hound,0.27,True,borzoi,0.14,True,doormat,0.11,False,"https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CwJR1okWIAA6XMp.jpg,2017-02-16,10,832215726631055365
wfer,1.3,13,,Meet Wafer. He represents every fiber of my being. 13/10 very good dog https://t.co/I7bkhxBxUG,8564,24597,labrador retriever,0.38,True,beagle,0.26,True,grocery store,0.08,False,https://twitter.com/dog_rates/status/818627210458333184/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C1xZGkzWIAA8vh4.jpg,2017-01-10,10,818627210458333184
jreld,1.3,13,,This is Jareld. Jareld rules these waters. Ladies and Gentleman... 13/10. This dog is utterly fucking spectacular. https://t.co/L6qAEV5PAd,667,1385,canoe,0.41,False,paddle,0.12,False,pembroke,0.09,True,https://twitter.com/dog_rates/status/668256321989451776/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/CUYflCXWEAAzQVu.jpg,2015-11-22,10,668256321989451776
rlo,1.3,13,,This is Arlo. He's officially the king of snowy tongue slips. 13/10 would comfort during inevitable brain freeze https://t.co/oXVu9pNZZv,2357,12183,border terrier,0.66,True,brabancon griffon,0.17,True,yorkshire terrier,0.09,True,https://twitter.com/dog_rates/status/838921590096166913/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C6Ryuf7UoAAFX4a.jpg,2017-03-07,10,838921590096166913
hrlso,1.3,13,,This is Harlso. He has a really good idea but isn't sure you're going to like it. 13/10 he'll just keep it to himself https://t.co/IzcaR3Nqyn,2030,8871,doberman,0.76,True,black-and-tan coonhound,0.14,True,miniature pinscher,0.09,True,https://twitter.com/dog_rates/status/821522889702862852/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2aitIUXAAAG-Wi.jpg,2017-01-18,10,821522889702862852
duchess,1.3,13,doggo,This is Duchess. She uses dark doggo forces to levitate her toys. 13/10 magical af https://t.co/maDNMETA52,1899,9317,golden retriever,0.98,True,labrador retriever,0.01,True,saluki,0.0,True,https://twitter.com/dog_rates/status/821765923262631936/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2d_vnHWEAE9phX.jpg,2017-01-18,10,821765923262631936
jimison,1.3,13,,This is Jimison. He was just called a good boy. 13/10 https://t.co/djMep7mGkV,2692,12582,golden retriever,0.27,True,cocker spaniel,0.22,True,irish setter,0.15,True,https://twitter.com/dog_rates/status/821886076407029760/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2ftAxnWIAEUdAR.jpg,2017-01-19,10,821886076407029760
wlter,1.3,13,,This is Walter. His owner has been watching all the Iditarod coverage and is convinced Walter can be a sled dog. 13/10 Walter isn't so sure https://t.co/0av1PEehFI,1504,11892,kelpie,0.22,True,doormat,0.14,False,dalmatian,0.13,True,https://twitter.com/dog_rates/status/838561493054533637/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C6MrOsEXQAENOds.jpg,2017-03-06,10,838561493054533637
sunny,1.3,13,,Meet Sunny. He can take down a polar bear in one fell swoop. Fr*cken deadly af. 13/10 would pet with caution https://t.co/EMq8Ud6Ze1,11525,34984,golden retriever,0.84,True,pekinese,0.06,True,labrador retriever,0.02,True,"https://twitter.com/dog_rates/status/820749716845686786/photo/1,https://twitter.com/dog_rates/status/820749716845686786/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2PjgjQXcAAc4Uu.jpg,2017-01-15,10,820749716845686786
buddy,1.3,13,,This is Buddy. He ran into a glass door once. Now he's h*ckin skeptical. 13/10 empowering af (vid by Brittany Gaunt) https://t.co/q2BgNIi3OA,31314,57622,cocker spaniel,0.39,True,golden retriever,0.26,True,pekinese,0.12,True,https://twitter.com/dog_rates/status/817827839487737858/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/817827663108771841/pu/img/e9oi839RGWJR37jF.jpg,2017-01-07,10,817827839487737858
pisley,1.3,13,,This is Paisley. She really wanted to be president this time. Dreams officially crushed. 13/10 https://t.co/liJGwMp17E,7390,20083,samoyed,0.42,True,malamute,0.25,True,kuvasz,0.16,True,"https://twitter.com/dog_rates/status/822489057087389700/photo/1,https://twitter.com/dog_rates/status/822489057087389700/photo/1,https://twitter.com/dog_rates/status/822489057087389700/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C2oRbOuWEAAbVSl.jpg,2017-01-20,10,822489057087389700
dido,1.3,13,doggopupper,"This is Dido. She's playing the lead role in ""Pupper Stops to Catch Snow Before Resuming Shadow Box with Dried Apple."" 13/10 (IG: didodoggo) https://t.co/m7isZrOBX7",3084,11901,curly-coated retriever,0.73,True,flat-coated retriever,0.21,True,irish water spaniel,0.03,True,https://twitter.com/dog_rates/status/817777686764523521/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/817777588030476288/pu/img/KbuLpE4krHF4VdPf.jpg,2017-01-07,10,817777686764523521
ken,1.3,13,,This is Ken. His cheeks are magic. 13/10 (IG: ken_shiba) https://t.co/btzf1zTDeQ,17504,38260,ice bear,0.34,False,samoyed,0.2,True,eskimo dog,0.19,True,https://twitter.com/dog_rates/status/817423860136083457/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/817423809049493505/pu/img/5OFW0yueFu9oTUiQ.jpg,2017-01-06,10,817423860136083457
,1.3,13,pupper,RT @dog_rates: Here's a pupper with squeaky hiccups. Please enjoy. 13/10 https://t.co/MiMKtsLN6k,9907,0,tibetan mastiff,0.51,True,tibetan terrier,0.3,True,otterhound,0.04,True,"https://twitter.com/dog_rates/status/815966073409433600/video/1,https://twitter.com/dog_rates/status/815966073409433600/video/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/815965888126062592/pu/img/JleSw4wRhgKDWQj5.jpg,2017-01-06,10,817181837579653120
tebow,1.3,13,,This is Tebow. He kindly requests that you put down the coffee and play with him. 13/10 such a good boy https://t.co/56uBP28eqw,2326,9690,golden retriever,0.3,True,irish setter,0.14,True,chesapeake bay retriever,0.08,True,https://twitter.com/dog_rates/status/817171292965273600/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C1cs8uAWgAEwbXc.jpg,2017-01-06,10,817171292965273600
,1.3,13,,Name a more iconic quartet... I'll wait. 13/10 for all https://t.co/kCLgD8687T,3011,13367,saluki,0.57,True,afghan hound,0.23,True,golden retriever,0.16,True,https://twitter.com/dog_rates/status/817120970343411712/photo/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C1b_LSYUsAAJ494.jpg,2017-01-05,10,817120970343411712
,1.3,13,pupper,Here's a pupper with squeaky hiccups. Please enjoy. 13/10 https://t.co/MiMKtsLN6k,9907,25057,tibetan mastiff,0.51,True,tibetan terrier,0.3,True,otterhound,0.04,True,https://twitter.com/dog_rates/status/815966073409433600/video/1,"""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/815965888126062592/pu/img/JleSw4wRhgKDWQj5.jpg,2017-01-02,10,815966073409433600
ken,1.3,13,,RT @dog_rates: This is Ken. His cheeks are magic. 13/10 (IG: ken_shiba) https://t.co/btzf1zTDeQ,17504,0,ice bear,0.34,False,samoyed,0.2,True,eskimo dog,0.19,True,"https://twitter.com/dog_rates/status/817423860136083457/video/1,https://twitter.com/dog_rates/status/817423860136083457/video/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/ext_tw_video_thumb/817423809049493505/pu/img/5OFW0yueFu9oTUiQ.jpg,2017-03-15,10,841833993020538882
tls,1.3,13,,Here is Atlas. He went all out this year. 13/10 downright magical af https://t.co/DVYIZOnO81,8476,20783,samoyed,0.91,True,pomeranian,0.05,True,west highland white terrier,0.04,True,"https://twitter.com/dog_rates/status/813217897535406080/photo/1,https://twitter.com/dog_rates/status/813217897535406080/photo/1,https://twitter.com/dog_rates/status/813217897535406080/photo/1,https://twitter.com/dog_rates/status/813217897535406080/photo/1","""http://twitter.com/download/iphone"" ",https://pbs.twimg.com/media/C0khWkVXEAI389B.jpg,2016-12-26,10,813217897535406080
